Sample in Buffer,Sample in Window,TRIGGER,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/cnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/scalarOutCnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/io_bus_payload_last,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/logitsIn_valid,test_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tvalid,test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/wkvFire
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
382,382,0,31998,7cfe,1,0,0,0
383,383,0,31998,7cfe,1,0,0,0
384,384,0,31998,7cfe,1,0,0,0
385,385,0,31998,7cfe,1,0,0,0
386,386,0,31998,7cfe,1,0,0,0
387,387,0,31998,7cfe,1,0,0,0
388,388,0,31998,7cfe,1,0,0,0
389,389,0,31998,7cfe,1,0,0,0
390,390,0,31998,7cfe,1,0,0,0
391,391,0,31998,7cfe,1,0,0,0
392,392,0,31998,7cfe,1,0,0,0
393,393,0,31998,7cfe,1,0,0,0
394,394,0,31998,7cfe,1,0,0,0
395,395,0,31998,7cfe,1,0,0,0
396,396,0,31998,7cfe,1,0,0,0
397,397,0,31998,7cfe,1,0,0,0
398,398,0,31998,7cfe,1,0,0,0
399,399,0,31998,7cfe,1,0,0,0
400,400,0,31998,7cfe,1,0,0,0
401,401,0,31998,7cfe,1,0,0,0
402,402,0,31998,7cfe,1,0,0,0
403,403,0,31998,7cfe,1,0,0,0
404,404,0,31998,7cfe,0,0,0,0
405,405,0,31998,7cfe,0,0,0,0
406,406,0,31998,7cfe,0,0,0,0
407,407,0,31998,7cfe,0,0,0,0
408,408,0,31998,7cfe,0,0,0,0
409,409,0,31998,7cfe,0,0,0,0
410,410,0,31998,7cfe,0,0,0,0
411,411,0,31998,7cfe,0,0,0,0
412,412,0,31998,7cfe,0,0,0,0
413,413,0,31998,7cfe,0,0,0,0
414,414,0,31998,7cfe,0,0,1,0
415,415,0,31998,7cff,0,0,0,0
416,416,0,31998,7cff,0,0,0,0
417,417,0,31998,7cff,0,1,0,0
418,418,0,31999,7cff,0,0,0,0
419,419,0,31999,7cff,0,0,0,0
420,420,0,31999,7cff,0,0,0,0
421,421,0,31999,7cff,0,0,0,0
422,422,0,31999,7cff,0,0,0,0
423,423,0,31999,7cff,0,0,0,0
424,424,0,31999,7cff,0,0,0,0
425,425,0,31999,7cff,0,0,0,0
426,426,0,31999,7cff,0,0,0,0
427,427,0,31999,7cff,0,0,0,0
428,428,0,31999,7cff,0,0,0,0
429,429,0,31999,7cff,0,0,0,0
430,430,0,31999,7cff,0,0,0,0
431,431,0,31999,7cff,0,0,0,0
432,432,0,31999,7cff,0,0,0,0
433,433,0,31999,7cff,0,0,0,0
434,434,0,31999,7cff,0,0,0,0
435,435,0,31999,7cff,0,0,0,0
436,436,0,31999,7cff,0,0,0,0
437,437,0,31999,7cff,0,0,0,0
438,438,0,31999,7cff,0,0,0,0
439,439,0,31999,7cff,0,0,0,0
440,440,0,31999,7cff,0,0,0,0
441,441,0,31999,7cff,0,0,0,0
442,442,0,31999,7cff,0,0,0,0
443,443,0,31999,7cff,0,0,0,0
444,444,0,31999,7cff,0,0,0,0
445,445,0,31999,7cff,0,0,0,0
446,446,0,31999,7cff,0,0,0,0
447,447,0,31999,7cff,0,0,1,0
448,448,0,31999,7d00,0,0,0,0
449,449,0,31999,7d00,0,0,0,0
450,450,0,31999,7d00,0,1,0,0
451,451,0,0,7d00,0,0,0,0
452,452,0,0,7d00,0,0,0,0
453,453,0,0,7d00,0,0,0,1
454,454,0,0,7d00,0,0,0,1
455,455,0,0,7d00,0,0,0,1
456,456,0,0,7d00,0,0,0,1
457,457,0,0,7d00,0,0,0,1
458,458,0,0,7d00,0,0,0,1
459,459,0,0,7d00,0,0,0,1
460,460,0,0,7d00,0,0,0,1
461,461,0,0,7d00,0,0,0,1
462,462,0,0,7d00,0,0,0,1
463,463,0,0,7d00,0,0,0,1
464,464,0,0,7d00,0,0,0,1
465,465,0,0,7d00,0,0,0,1
466,466,0,0,7d00,0,0,0,1
467,467,0,0,7d00,0,0,0,1
468,468,0,0,7d00,0,0,0,1
469,469,0,0,7d00,0,0,0,1
470,470,0,0,7d00,0,0,0,1
471,471,0,0,7d00,0,0,0,1
472,472,0,0,7d00,0,0,0,1
473,473,0,0,7d00,0,0,0,1
474,474,0,0,7d00,0,0,0,1
475,475,0,0,7d00,0,0,0,1
476,476,0,0,7d00,0,0,0,1
477,477,0,0,7d00,0,0,0,1
478,478,0,0,7d00,0,0,0,1
479,479,0,0,7d00,0,0,0,1
480,480,0,0,7d00,0,0,0,1
481,481,0,0,7d00,0,0,0,1
482,482,0,0,7d00,0,0,0,1
483,483,0,0,7d00,0,0,0,1
484,484,0,0,7d00,0,0,0,1
485,485,0,0,7d00,0,0,0,1
486,486,0,0,7d00,0,0,0,1
487,487,0,0,7d00,0,0,0,1
488,488,0,0,7d00,0,0,0,1
489,489,0,0,7d00,0,0,0,1
490,490,0,0,7d00,0,0,0,1
491,491,0,0,7d00,0,0,0,1
492,492,0,0,7d00,0,0,0,1
493,493,0,0,7d00,0,0,0,1
494,494,0,0,7d00,0,0,0,1
495,495,0,0,7d00,0,0,0,1
496,496,0,0,7d00,0,0,0,1
497,497,0,0,7d00,0,0,0,1
498,498,0,0,7d00,0,0,0,1
499,499,0,0,7d00,0,0,0,1
500,500,0,0,7d00,0,0,0,1
501,501,0,0,7d00,0,0,0,1
502,502,0,0,7d00,0,0,0,1
503,503,0,0,7d00,0,0,0,1
504,504,0,0,7d00,0,0,0,1
505,505,0,0,7d00,0,0,0,1
506,506,0,0,7d00,0,0,0,1
507,507,0,0,7d00,0,0,0,1
508,508,0,0,7d00,0,0,0,1
509,509,0,0,7d00,0,0,0,1
510,510,0,0,7d00,0,0,0,1
